message, target
u have gay hero,2
haters,0
fuck this game,1
wtf ur mom came back my ,2
fuck your mother in teh asshole,2
fucking apes,2
after this game,0
lc u r such a shit eater,2
riki got a fuciking fly ,1
a fuckcing fly on riki this game ,1
my team pause sorry,0
can we go next ,0
go to this whore,2
u understand that if by some miracle,0
with your mom,2
throne,0
did i fucked your mother  ,2
incompetenct cores blaming support,0
piece of trash,2
     to     ,0
pussy bitch,2
medalion or force,0
ching chong wanna be,2
that doesn count,0
wtf u talkin about ,1
stuid team,2
suck,0
wdym  you talk to me  st,0
seriously can you guys just end this shit,1
jugger playing world of warcraft killin creeps,0
i m divine   but i m fucking u in the ass xd,2
this invo is so trash,2
no buy still come out farm,0
dont rat man its so loserish,0
eather play or stop wasting time you idiots,2
imagine thinking u can go offlane wk first item fucking radiance lol,1
it seems your mom didnt breastfeed you yesterday,2
i cant understand that shit,1
you guys are tired,0
so is peru,0
beast u smell penis with cheese ,2
another notch,0
if you re playin  me  keep it on the low cause my heart can t take it anymore,0
fuckin pl pickers,1
get in the photo,0
our noob pa will farm till next year,2
and help,0
i want to try but  i dont have persona,0
all chat ,0
nice csing dog,2
  o,0
with the rotation bot,0
vs   creep waves,0
ill just slit your throat,2
depression is for pussies,1
let me see how good of a server u have ape ,2
so when you masturbate to sleep  do you press your knees together or wide apart like your asshole is ready to get reamed apart ,2
lycan tergentot sedunia  ,0
your morons were worse than our morons,2
btch,1
where swm,0
opinions on powell s increase in rates  ,0
ogre alone is raping them,1
cant hit us,0
report pudge and zeus total retards,2
fuck this broodmama,2
when hes learning hero,0
this shit jug jz simply say i die back,1
highlight,0
this mothfecfucker primal tp mid,1
puck are you done with your acrobatics ,0
he prob gay,2
sry for the waste of time    what a sht game ,1
sorry  i had a father in my life,0
cant believe the cumback,1
boring,0
grey screen,0
bh reported for griefing,0
benched for a reason,0
pa is crying cos got raped on top,2
damn ember you are pretty heavy to be allchatting,1
you are so retarded and bad,2
u boys are playing like its ti,0
we can tell,0
zzzz we have another depressive kiddo here,2
its literally just a game,0
but still noob,1
he s dead,0
use battlefury jugg,0
clown    ,0
my rubick is an impulsive son of whore whose mom dropped him at birth,2
wioth ur dogshit meepo ,2
and still fuck u easly,1
i only kill him twice lol,0
suck dick bitch,2
otucarrying rank  ,0
rosh all towers,0
stop playing u retards,2
and he cry like a dog,2
type,0
she is a man,0
this idiot cant fucking use  spells together,2
wtf is this,1
cory new player ,0
sf and nyx suck,2
surewin,0
i needed tha rune man   ,0
does eljean know your a faggot ,2
thank god i didnt have lastpick this game so pink is stuck with you puck,0
thats a nice streak  would be a shame if you lost it,0
fak how do u use this,1
lycan and silencer,0
china gonna rule the world,0
eziest game of my fucking life,1
need   or  ,0
dickhead moron,2
bbc for you this game,0
can u fuck off ,1
the fucking difference is when i target cm we win the fight,1
toxic,0
even when he is thanking me,0
the machine,0
u should try maybe meepo,0
the last pick uyndying,0
if you cant play core bro,0
because none of u idiots were there,1
what a noob sniper,2
learn english,0
muslim son of whore like u ,2
i hurt the ones i love,0
noob core ff underlord with vanguard xaxa,2
every fucking game,1
when u sex with a girl,0
won for u,0
ty bro,0
how the fuck,1
stfu tree,1
why no money idiot  ,1
afk is choice,0
he puts,0
party with eazy heart or ruin,0
i hope your cock werks,2
and report morf,0
i fuck your dad,2
wtf comback,1
nobody to follow up ,0
waste my csgo time,0
in chrono,0
carried by kka ,0
feeding,0
is fucking u ,1
the loudest are always the foolish,0
i honestly think,0
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1
account buyer dog,2
pocanam legche budet,0
this idiot chasing bs,2
wtf is that radius,1
whats is country krym ,0
our noob timber ,2
too many apes,2
want some ethereal ,0
hoy tang ina mo bobo ka sa mid,2
eat my entire ass,2
who was the noob  bh ,1
hope your retarded mother dies in front of your eyes,2
stupid bitch woman cm,2
why bro ,0
this idiot,1
cachandote,0
pa fed   kills though,0
whos gonna carry the retards,1
unpause ,0
wtf sk think he is,1
ok then,0
we wait for sf ,0
your mother takes my banana,2
fuck that guy,1
cant support thsi shit noob teammates,2
he s a greedy bastard   ,1
who,0
fk u play ur rank cunt,2
first win,0
as a whole,0
enjoy this treads dog pos  with you next,2
ass hole spotted,2
from the lane,0
clinkz is trash,2
 c,0
  morons atacking pudge non stop,1
nice actor chingchong,2
i was just tryna chill man wtf lol,1
two aghs,0
pick pa again and u lose idiot,2
exactly  be quiet then,0
did you try one shotting your parents dissapointment ,1
or your noob ,1
fucking monkeys in team,2
send to gof,0
ashei fassio,0
how is everyone doing    ,0
pls wait,0
who,0
i mean no,0
why u use chat ,0
offlane feeders and abusers,0
we want to play fair,0
can you fuck off ,1
green is talking shit yall,1
see the difference in my and jug lvl n farms,0
we have noob drow and pudge,2
worst subhuman,0
o home he imortal,0
world full of gays,2
help us report this trash fuck pa,2
try hard moron marci,2
ina mall ,2
gg close game,0
horribl,0
than ua re gay,2
where is lina ,0
when ur carry sucks y lose,1
i bet you bought that as divine and now legend,0
not reporting am,0
ur mom ugly bitch,2
wtf is that jump,1
sorrey my contempt for the stupid fucking cunt am got in the way,2
feed too much,0
was playing with my tongue noobkid,1
 head,0
just end this,0
go finish  noob team ,1
fucking clutch,1
i hope you think about this xd,0
how long before out of legend,0
why dont u just send your mom instead of vitamin b,2
rofl,0
imagine playing    k games but still plays like that,0
mid go they cant def,0
u was rape pos   bro,1
wtf go mext ,1
i prefer abuse but doing shit then this dusa,1
dont know,0
wtf how come od legend vs me cruseder wtf,1
fucking ti players in legend,1
wr leave the game    make your team stronger you rretard,2
wtf rs,1
the good old mom card when you suck so hard you have to use it,0
every   minutes,0
idiot earthshaker bot,2
why man  p,0
you are mouse and noob,2
such a shit ember spirit as well,2
hey clown look top,2
party with uzbek or ruin,0
death and woe to all ruzzians,0
sorrty,0
typical,0
cue benny hill music,0
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1
go fuck off,1
funny thing,0
report warlock,0
it should say safe to leave,0
your mums pretty easy,2
f off virgin,2
u cant even stun a player haha,2
i jsut said my first game is nice game,0
push mid clown,2
nah actually fuck undying,1
that bad ,0
yes ur whole family all trash lsoer,2
can you faggots stop pausing,2
ember son of a whore,0
catch me,0
for what tard,1
nah  you do suck though,2
perfect hes a pleb,2
imagine saying my tinker noob but still scared of my tinker and pick early hahahahahahahahah,1
and   of ur core players,0
imagine calling others moron,1
pos   pls thanks english team if possible,0
try hard ,0
by a mirana,0
they just too bad,0
nice english retard,1
this dog tip me ,2
thanks for spitting facts whitemon   ,0
why go when i put a x,0
the fuck u trying to do ,1
how low this fucking game is man even if we afk,1
reason,0
fuck off,1
cause our clintz and am are fucking dogs,2
holy shit,1
your mom has nice jugs,2
imagine your carrying this mf,1
trash coore,2
gg can throne,0
of course,0
ammar the  beed,0
with me fucking ofc,1
you re not going anywhere,0
shoudnt,0
gotta have some public decency,0
i breastfed from your mom,2
and it wasnt even u moron marci,2
can we end ,0
i bet ur face is ugly pa,2
what a retrard ,2
 you talk a lot of shit for someone who hasnt won   ,1
fucking techies,1
two aghs,0
im so fucking trash,1
fear my dick,1
  pos and  pos buy it,0
put a period so you don t use bad word  cunt,2
now i m gonna ask you who do you think is the acc buyer  ,0
yesss ur mom is animal,2
the stupid penis lover ursa,2
my team is just pro,0
fuck putin,1
really   ,0
i ll have to check w  your mom first,2
cumshot,1
stupid team,2
who is the best support ,0
how much pidaras i am from   to      ,0
we dont even have a carry and you still suck shit,2
back,0
beast,0
tem uma drow um juggernaut,0
u are the shameless shit,2
so fucking trash offlane,2
son of whore,2
leave fuck noobs,1
lol ns doesnt leave top for    minutes ,0
especially wr,0
what a fuckjing,1
look at these imbeciles forgetting about serpent wards lol,1
fuck off necro,1
holy shit you re outskilled so hard,1
too ez undying dog,2
everyone,0
think of all i ve done for you,0
hey noob anthony,2
after this game you will have less mmr than me trash,1
why,0
we wanna be toxic to win,0
and i will still be above you ,0
farm creeps,0
fuckk offff man,1
what the fuck i wanna play ,1
please hold,0
this stupid bull head waits for his teammates to die every time when he hurts ,1
holy shit,1
its great russian language moron,2
why wtf,1
is this lp,0
u suck pinga with cheese,0
keep trash out of dota,1
like the oracle,0
this stupid,1
why is magnus mid and sf on offlane,0
ur not the reason im dead thoug,0
puhyssy assssss d shadow blade,1
doesn t change the fact half those hits are wasted and no about of unranked posturing will change the fct you re a huge closeted fa   ot that enjoys bbc and dogsht ugly girls,2
   ily emp,0
ty for waiting fags,1
where is it retard ,2
did ur pussy leak or what ,1
what a shit team,1
gettin this occasion to get somethin to drink  do the same bois,0
how long have you been a huge fa   ot,2
  reports clinkz,0
oh hes raped on top,2
that ur a son of whore,2
good silence,0
im getting free mmr why would i be angry ,0
as retarded as centaur,1
od players,0
were talking so much shit,1
too bad yr mouse dick kinda cute n short,1
report mother fucker useles axe,2
finally,0
its fine bro,0
put some pants on antimage,0
little neckbeard,0
go kill the dog,1
wheres bat huskar wtf,1
 idonthave,0
imagine saying my tinker noob but still scaed of my tinker and pick early hahahahahahahahah,1
this game is a waste of time this mk sucks,2
toronto and me,0
did you get the gcash ,0
fucking trash,2
youre a sniper    ,0
into typing,0
with my best friend,0
white boy,1
pure idiots are playing this game,2
ctm,0
wr watching naga and me getting fuck on pornhub,2
throne it,0
undying was hype af,0
wr who to blame now ,0
fxck you too,2
i hate black people,2
told u about handicap,0
wtf is this,1
never denied being a piece of shit ,1
its only like    mmr or   ,0
probably tastes good,0
for sure,0
this is pritty gay,1
something,0
  good played  well game,0
with ur stupid gameplay,1
let s fight with tide ulti only,0
he take    hit on towers,0
thats lc all game,0
doesn t explain how you are dogshit outside of mid,2
so hard for clincz mmmmmmmmm,0
pussy bitch ,2
omnislash this nuts,0
maybe a   for   soon,0
what imbecil,1
whitemon waiting for ur new songs with aki   ,0
lol this guy is mentely damaged,0
me haz fedeado,0
let him play and waste his time,0
thanks,0
ez bear tho,0
fuckign hell mate,1
trio trash player,2
for rough sex,2
what a joke,0
typical woman gamer,0
please report jakiro,0
his computer shitting itself,2
report team pelase,0
i used to love sand king when he sucked,0
gl to new player invok,0
waht wind ,0
said the useless mid,2
yeah why ,0
fuck this game,1
hc eeuu shit player taco,2
cumbackkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,1
whos a pussy,1
this close to breaking my items   ,0
only cores,0
bobo edition,1
and   retarded arab,2
blue is a fucking moron,2
idk how u dont pause for ur mid for    second,0
wtf was this game,1
let this boringgame end you morons,2
i need to go,0
the       is talking,0
bot and top too shit,2
my team is trash,2
walking around lc,0
u trash sup ind g ,2
also dw team with this dog,2
this puck play lina so bad ,0
pa why,0
its tough,0
this s pid dog jug,2
riki i fk ur sister,2
ty for that,0
time to fondle ur balls,2
i want more of that ass,0
son of pigs,2
you are such a loser brad,2
he is so noob,2
you shouldnt focus me,0
if youre kigs procreate with white race     times you wil still be yellow piece of shit chiense trash,2
thee ol bullshit switch ah roo,1
stomping aint sweating bruh,0
because we are not autistic like u,2
if u think sniper is a newbie,0
i dont care if u have to shit,1
these games are so fucking bad,1
nice picks sniper,0
oh crap ,0
mrbeast giveaway,0
cope and seethe,0
playing wr vs retards,2
we will never know,0
hey neo,0
wtf was that blink valve ,1
it was a tasty horse,0
his mmr maybe    ,0
they playin,0
ty idiot,1
sorry no russian,0
  range hero,0
and  half ur base gone,0
report timber,0
our support just feed for last    min,0
fuck this dk,2
take it easy trash,2
your mother faker,2
all gank top for carry then carry useless ,2
ur doing great,0
trash median this is,2
being virgin   fucking ugly bitches,2
tipping in double score  game,0
gg  ss and furion feeding,0
are uguys for real,0
what ar etard,2
party with raving,0
if only silencer wasnt a pussy,1
carry weak,0
tip me,0
ty guys   ,0
piece of dog,2
report to avoid this example piece of shitt,1
 nto the game,0
u r really wasting that shitty laning pahse,1
forgive your team then ,0
gave youf arm,0
total noob without huskar,1
what else,0
useless cores,2
beg whore,2
our sup throw it and we have no mid,0
i guess you gotta voice line when thats all you got going for ya,0
not watch u cry and bitch,1
puck good player,0
when luck becomes a lifeestyle its called skill ,0
its not even fair,0
word of advice,0
the worst player here is u,0
are u shaikng heaed now sven,0
sry this fucking clown talking all chat,2
fuck yes they are,1
sry didnt mean to tip,0
high mmr is supporting ,0
son of whore,2
u call me a faggot,1
whats wrong with him ,0
i was admiring it when you dickwads rudely interrupted,2
make the community better,0
i trying my best to sup them but seem like i m the only fool,0
too busy being in my mum to play dota i guess,2
mucho tecleas sonso,0
idiot tecis,2
go end please,0
helloooo end clownada ety,0
you relate to losers,2
now afk retard,1
we were winning top when he left,0
snap be like oh a new day to ruin   peaple game,0
rep this bitch,2
come on me ,0
sounds like he should abandon,0
toxic and noob,1
fcking idiot team,2
ohj the fag hag is here,2
he break items,0
assholes,2
im sorry i smacked you ,0
i want your ass,1
all that talk,0
i came in   v   and raped u remember,2
tell that to zai,0
tip thge ns,0
the only reality is that u are toxic stupid little kid whos mother is getting fucked daily,2
free to end,0
what hapenning,0
no senc this game,0
that hook,0
  feeded by   noobs,2
wtf that creep,1
youre trash,2
gg thanks for ez top lane,0
china balong ingles friends,2
are such fucking pussies,2
learning mechanick,0
all because zamuel didnt want to support  trash ,1
my   pos is trash,2
he didn t use chrono,0
show me ur ass,2
and still trashtalk here,0
this qop,0
nah prefer to avoid u so i can keep getting free mmr,0
wind and  sky ,0
u think im dumb,1
nope,0
you should give fuck about russia losing in ukraine ,1
this noob,1
bot easy ,0
that sounds like a blue hair disease,0
it cheap,0
typical trash mid,2
but with meteor,0
why no pick me bmk ,0
silencer and wr are shit,2
pussy b tch,2
ta threw the game  gg,0
u are idiot estern p iece of shit vodka,2
i pause with my peni  in yo mama,2
sucks that lion raged,0
report that noob,2
fucking idiopt,2
i didn t see the clock boy,0
i have more flesh heap then minutes of this game,0
how fun it is to play that hero,0
u guys kept on manning up and chasing doom,0
congrats you can press   button barely after   people get your ass there after shitting the bed,2
throne,0
free to end,0
offlane noob,2
son of whore,2
he plays,0
u son of whore,2
 ls time to play mid,0
and buy rope,0
always astral his mum,2
what is bkb ,0
you low rank you complain a newplayer sniper for,0
what     ,0
cant play with bastards,1
retarded qop,2
easy,0
my brain is shrinking,0
support with hitter item,0
by my team,0
